tournamentId,match,move
0,0,[5 4]
0,1,[3 5]
0,2,[2 2]
0,3,[3 2]
0,4,[2 3]
0,5,[5 3]
0,6,[5 5]
0,7,[5 2]
0,8,[4 5]
0,9,[4 6]
0,10,[3 6]
0,11,[6 5]
0,12,[6 4]
0,13,[2 4]
0,14,[2 5]
0,15,[5 6]
0,16,[5 7]
0,17,[7 5]
0,18,[3 1]
0,19,[3 7]
0,20,[4 2]
0,21,[4 1]
0,22,[5 0]
0,23,[2 7]
0,24,[6 6]
0,25,[2 6]
0,26,[4 7]
0,27,[1 4]
0,28,[1 5]
0,29,[0 4]
0,30,[1 7]
0,31,[1 3]
0,32,[1 2]
0,33,[0 1]
0,34,[0 6]
0,35,[2 1]
0,36,[1 6]
0,37,[3 0]
0,38,[0 2]
0,39,[0 3]
0,40,[1 0]
0,41,[2 0]
0,42,[4 0]
0,43,[5 1]
0,44,[0 5]
0,45,[0 7]
0,46,[6 7]
0,47,[7 7]
0,48,[7 3]
0,49,[7 4]
0,50,[6 0]
0,51,[7 2]
0,52,[6 2]
0,53,[7 1]
0,54,[6 3]
0,55,[6 1]
0,56,[7 6]
0,57,[7 0]
0,58,[1 1]
0,59,[0 0]
1,0,[5 4]
1,1,[3 5]
1,2,[2 2]
1,3,[3 2]
1,4,[2 3]
1,5,[5 3]
1,6,[2 4]
1,7,[1 2]
1,8,[2 1]
1,9,[1 3]
1,10,[4 2]
1,11,[4 5]
1,12,[5 2]
1,13,[3 1]
1,14,[1 5]
1,15,[2 5]
1,16,[0 2]
1,17,[5 1]
1,18,[0 3]
1,19,[2 0]
1,20,[1 4]
1,21,[0 5]
1,22,[4 0]
1,23,[3 0]
1,24,[4 1]
1,25,[0 4]
1,26,[5 6]
1,27,[5 0]
1,28,[1 1]
1,29,[4 6]
1,30,[1 0]
1,31,[6 4]
1,32,[6 3]
1,33,[7 3]
1,34,[6 0]
1,35,[6 2]
1,36,[2 6]
1,37,[3 7]
1,38,[1 6]
1,39,[0 0]
1,40,[0 1]
1,41,[7 0]
1,42,[2 7]
1,43,[0 7]
1,44,[1 7]
1,45,[0 6]
1,46,[3 6]
1,47,[5 5]
1,48,[6 5]
1,49,[7 6]
1,50,[5 7]
1,51,[4 7]
1,52,[6 6]
1,53,[7 7]
1,54,[7 5]
1,55,[7 4]
1,56,[6 7]
1,57,[7 2]
1,58,[7 1]
1,59,[6 1]
2,0,[5 4]
2,1,[3 5]
2,2,[2 2]
2,3,[3 2]
2,4,[2 3]
2,5,[5 3]
2,6,[5 5]
2,7,[5 2]
2,8,[6 3]
2,9,[6 2]
2,10,[4 5]
2,11,[1 2]
2,12,[5 1]
2,13,[4 2]
2,14,[4 1]
2,15,[2 4]
2,16,[1 3]
2,17,[0 2]
2,18,[2 5]
2,19,[6 4]
2,20,[7 5]
2,21,[6 5]
2,22,[7 4]
2,23,[7 3]
2,24,[7 2]
2,25,[3 1]
2,26,[2 0]
2,27,[4 0]
2,28,[5 6]
2,29,[1 5]
2,30,[0 5]
2,31,[3 6]
2,32,[2 7]
2,33,[4 6]
2,34,[2 6]
2,35,[3 7]
2,36,[1 4]
2,37,[0 3]
2,38,[4 7]
2,39,[6 0]
2,40,[0 4]
2,41,[0 6]
2,42,[2 1]
2,43,[6 7]
2,44,[5 7]
2,45,[1 7]
2,46,[0 1]
2,47,[0 0]
2,48,[5 0]
2,49,[3 0]
2,50,[1 6]
2,51,[1 0]
2,52,[7 0]
2,53,[1 1]
2,54,[6 1]
2,55,[0 7]
2,56,[7 1]
2,57,[6 6]
2,58,[7 6]
2,59,[7 7]
3,0,[5 4]
3,1,[3 5]
3,2,[2 2]
3,3,[3 2]
3,4,[2 3]
3,5,[5 3]
3,6,[5 5]
3,7,[5 2]
3,8,[4 5]
3,9,[4 6]
3,10,[3 6]
3,11,[6 5]
3,12,[5 7]
3,13,[5 6]
3,14,[6 4]
3,15,[7 5]
3,16,[7 3]
3,17,[6 3]
3,18,[7 2]
3,19,[7 4]
3,20,[7 6]
3,21,[2 4]
3,22,[1 3]
3,23,[4 7]
3,24,[3 7]
3,25,[1 4]
3,26,[4 2]
3,27,[5 1]
3,28,[3 1]
3,29,[2 7]
3,30,[1 7]
3,31,[2 5]
3,32,[0 5]
3,33,[4 1]
3,34,[4 0]
3,35,[6 2]
3,36,[6 7]
3,37,[2 0]
3,38,[5 0]
3,39,[3 0]
3,40,[2 1]
3,41,[0 4]
3,42,[2 6]
3,43,[0 6]
3,44,[1 5]
3,45,[6 0]
3,46,[7 1]
3,47,[0 3]
3,48,[1 2]
3,49,[1 6]
3,50,[6 1]
3,51,[7 0]
3,52,[7 7]
3,53,[0 7]
3,54,[6 6]
3,55,[1 1]
3,56,[0 2]
3,57,[0 1]
3,58,[0 0]
3,59,[1 0]
4,0,[5 4]
4,1,[5 5]
4,2,[4 5]
4,3,[5 3]
4,4,[4 2]
4,5,[3 5]
4,6,[2 3]
4,7,[2 2]
4,8,[2 4]
4,9,[5 2]
4,10,[6 2]
4,11,[2 5]
4,12,[6 3]
4,13,[3 2]
4,14,[4 6]
4,15,[3 6]
4,16,[6 5]
4,17,[5 6]
4,18,[5 7]
4,19,[4 1]
4,20,[2 7]
4,21,[2 6]
4,22,[4 7]
4,23,[6 4]
4,24,[7 3]
4,25,[7 5]
4,26,[7 4]
4,27,[5 1]
4,28,[1 5]
4,29,[3 7]
4,30,[1 4]
4,31,[7 2]
4,32,[1 2]
4,33,[1 3]
4,34,[0 2]
4,35,[1 6]
4,36,[4 0]
4,37,[5 0]
4,38,[3 1]
4,39,[2 0]
4,40,[3 0]
4,41,[2 1]
4,42,[0 7]
4,43,[1 7]
4,44,[6 6]
4,45,[7 7]
4,46,[7 6]
4,47,[6 7]
4,48,[6 1]
4,49,[0 4]
4,50,[0 3]
4,51,[0 6]
4,52,[0 5]
4,53,[6 0]
4,54,[7 0]
4,55,[7 1]
4,56,[1 0]
4,57,[0 1]
4,58,[0 0]
4,59,[1 1]
5,0,[5 4]
5,1,[5 5]
5,2,[4 5]
5,3,[5 3]
5,4,[5 2]
5,5,[2 4]
5,6,[2 5]
5,7,[3 6]
5,8,[4 6]
5,9,[3 5]
5,10,[6 4]
5,11,[4 2]
5,12,[2 2]
5,13,[2 3]
5,14,[1 4]
5,15,[1 3]
5,16,[5 6]
5,17,[4 7]
5,18,[3 2]
5,19,[2 6]
5,20,[1 5]
5,21,[5 1]
5,22,[6 5]
5,23,[6 3]
5,24,[5 7]
5,25,[4 1]
5,26,[2 7]
5,27,[2 1]
5,28,[3 7]
5,29,[3 1]
5,30,[7 2]
5,31,[7 5]
5,32,[7 4]
5,33,[6 6]
5,34,[6 2]
5,35,[7 3]
5,36,[0 2]
5,37,[0 4]
5,38,[0 5]
5,39,[0 6]
5,40,[2 0]
5,41,[6 7]
5,42,[1 2]
5,43,[1 7]
5,44,[7 7]
5,45,[7 6]
5,46,[0 7]
5,47,[0 3]
5,48,[1 6]
5,49,[3 0]
5,50,[6 1]
5,51,[1 0]
5,52,[6 0]
5,53,[5 0]
5,54,[4 0]
5,55,[7 0]
5,56,[7 1]
5,57,[0 1]
5,58,[0 0]
5,59,[1 1]
6,0,[5 4]
6,1,[3 5]
6,2,[2 3]
6,3,[3 2]
6,4,[2 2]
6,5,[1 2]
6,6,[2 5]
6,7,[5 3]
6,8,[4 5]
6,9,[2 4]
6,10,[1 4]
6,11,[6 5]
6,12,[5 2]
6,13,[1 5]
